Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HC,AC,HomeXG,AwayXG,Odd_1_HT,Odd_X_HT,Odd_2_HT,BTTS_Yes,BTTS_No,Over_FT_0_5,Under_FT_0_5,Over_FT_1_5,Under_FT_1_5,Over_FT_3_5,Under_FT_3_5,Over_FT_4_5,Under_FT_4_5,DC_1X,DC_12,DC_X2,DNB_1,DNB_2,Over_HT_0_5,Under_HT_0_5,Over_HT_1_5,Under_HT_1_5,Over_HT_2_5,Under_HT_2_5,Over_HT_3_5,Under_HT_3_5,Over_2H_0_5,Under_2H_0_5,Over_2H_1_5,Under_2H_1_5,Over_2H_2_5,Under_2H_2_5,Over_2H_3_5,Under_2H_3_5,Odd_1_2H,Odd_X_2H,Odd_2_2H,odds_win_to_nil_1,odds_win_to_nil_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2
2025-04-12,03:30:00,Lambton Jaffas,Belmont Swansea,0.0,0.0,D,0.0,0.0,1.38,4.76,5.75,1.29,3.3,,,,,2.82,2.07,1.85,2.8,5.0,1.44,2.62,1.01,16.5,1.05,6.2,1.96,1.95,3.14,1.44,1.17,,2.8,,,1.16,4.5,1.97,1.7,4.33,1.14,8.0,1.02,1.11,6.5,1.57,2.2,2.84,1.35,5.0,1.15,1.7,2.9,4.6,,,,,1.92,,,,,,,,,,
2025-02-13,05:45:00,Belmont Swansea,Adamstown Rosebuds,5.0,2.0,H,1.0,1.0,2.1,4.35,2.45,1.25,3.56,17.0,10.0,4.0,4.0,3.0,1.88,2.5,2.75,2.88,,,,,,,1.79,1.92,2.25,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14,06:00:00,Edgeworth Eagles,Broadmeadow Magic,1.0,0.0,H,0.0,0.0,3.05,4.2,1.98,1.3,3.21,8.0,7.0,6.0,5.0,1.74,1.74,,,,,,,,,,1.77,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-15,02:30:00,Maitland,Valentine,3.0,3.0,D,2.0,0.0,2.33,3.92,2.59,1.34,2.99,13.0,9.0,3.0,2.0,2.52,1.77,2.63,2.6,2.88,1.41,2.65,1.01,18.5,1.04,6.85,1.91,1.83,2.85,1.35,1.22,1.2,2.1,,,1.21,4.0,1.95,1.73,4.1,1.2,9.75,1.04,1.1,6.25,1.53,2.3,2.6,1.43,5.25,1.14,1.9,3.0,3.8,,,,,1.91,2.0,,,,,1.8,,,,
2025-02-15,04:30:00,Hamilton Olympic,Cooks Hill United,4.0,2.0,H,1.0,0.0,2.27,3.97,2.64,1.45,2.56,16.0,10.0,7.0,8.0,2.68,2.06,2.25,2.75,3.4,1.53,2.34,1.01,17.0,1.07,5.8,1.82,1.92,3.35,1.27,1.15,1.17,2.13,,,1.22,4.0,2.05,1.73,4.33,1.2,11.0,1.05,1.15,5.0,1.7,2.05,3.2,1.33,7.0,1.1,1.85,2.88,4.6,,,,,,,,,,,,,,,
2025-02-16,02:30:00,Charlestown City Blues,Weston Bears,3.0,1.0,H,2.0,1.0,2.17,4.2,2.7,1.52,2.36,11.0,9.0,3.0,5.0,2.02,1.96,2.5,2.5,3.1,,,,,,,2.3,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,
2025-02-16,04:30:00,Lambton Jaffas,New Lambton,2.0,0.0,H,2.0,0.0,1.25,6.5,6.5,1.35,2.94,17.0,6.0,9.0,5.0,3.18,1.52,1.53,3.2,7.0,,,,,,,1.88,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,
2025-02-21,06:00:00,Adamstown Rosebuds,Valentine,3.0,2.0,H,0.0,0.0,7.6,6.5,1.27,1.24,3.64,15.0,8.0,5.0,1.0,2.54,2.13,7.0,3.1,1.53,1.44,2.63,,41.0,1.05,10.0,1.75,1.91,2.26,1.54,3.4,1.08,1.06,,,1.14,5.0,1.67,2.1,3.2,1.3,6.8,1.07,1.05,7.8,1.38,2.77,2.23,1.57,4.0,1.2,7.3,3.9,1.38,,,,,1.83,,,,,,,,,,
2025-02-22,00:00:00,Charlestown City Blues,New Lambton,2.0,0.0,H,1.0,0.0,1.23,7.8,7.8,1.32,3.09,12.0,8.0,4.0,4.0,2.63,1.68,1.53,3.2,7.0,1.72,1.98,,,1.06,6.25,1.83,1.8,2.75,1.37,1.04,1.11,4.0,,,1.21,4.0,1.9,1.78,3.9,1.22,9.0,1.05,1.1,6.5,1.5,2.4,2.5,1.46,5.0,1.15,1.43,3.6,7.5,,,,,2.1,,,,,,,,,,
2025-02-22,02:30:00,Cooks Hill United,Maitland,2.0,1.0,H,1.0,0.0,1.86,4.2,3.41,1.31,3.15,10.0,7.0,5.0,1.0,2.34,1.3,2.3,2.63,3.4,1.38,2.85,,,1.01,8.7,1.87,1.87,2.85,1.35,1.25,1.19,1.78,,,1.11,5.0,2.02,1.78,3.35,1.25,7.5,1.06,1.07,7.0,1.41,2.65,2.31,1.53,4.0,1.2,2.02,3.15,3.28,,,,,,,2.0,,,,,1.8,,,
2025-02-22,04:30:00,Belmont Swansea,Edgeworth Eagles,1.0,1.0,D,1.0,1.0,5.9,5.9,1.36,1.27,3.41,2.0,2.0,2.0,5.0,1.14,1.55,5.0,3.0,1.73,1.36,2.88,,36.0,1.03,9.0,1.85,1.8,2.25,1.57,2.4,1.11,1.11,,,1.14,5.0,1.67,2.1,3.2,1.3,6.5,1.08,1.09,6.0,1.47,2.46,2.46,1.47,4.75,1.15,5.95,3.48,1.51,,,,,,,,,,,,,,,
2025-02-23,00:00:00,Broadmeadow Magic,Lambton Jaffas,5.0,0.0,H,3.0,0.0,1.72,4.4,3.8,1.32,3.09,12.0,4.0,3.0,3.0,2.0,0.85,2.1,2.88,3.4,1.37,2.85,1.01,11.0,1.03,7.2,1.75,1.85,2.65,1.4,1.2,1.17,1.96,,,1.2,4.4,1.95,1.8,4.0,1.22,10.0,1.06,1.11,6.0,1.55,2.38,2.7,1.4,5.5,1.14,1.95,2.9,3.9,,,,,1.83,1.92,,,,,1.88,,,,
2025-02-23,02:30:00,Hamilton Olympic,Weston Bears,2.0,2.0,D,0.0,2.0,1.66,4.4,4.1,1.4,2.73,9.0,5.0,6.0,2.0,2.03,1.23,2.1,2.6,4.0,,,,,,,1.94,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01,05:00:00,Valentine,Belmont Swansea,2.0,2.0,D,1.0,0.0,2.59,3.92,2.33,1.44,2.59,10.0,12.0,9.0,4.0,1.7,2.19,3.0,2.4,2.75,1.46,2.5,1.01,15.0,1.1,5.15,2.0,1.67,3.6,1.24,1.5,1.22,1.39,,,1.22,3.6,2.14,1.63,4.65,1.13,11.0,1.01,1.1,5.25,1.68,2.06,3.04,1.3,6.0,1.11,2.76,2.75,2.55,,,,,2.0,,,,,,,,,,
2025-02-28,06:00:00,Adamstown Rosebuds,Maitland,3.0,4.0,A,1.0,3.0,4.0,4.6,1.66,1.2,4.04,10.0,8.0,10.0,4.0,1.79,1.38,5.0,3.1,1.73,1.45,2.55,1.01,22.0,1.01,8.5,1.85,1.89,2.8,1.36,2.22,1.15,1.15,,,1.15,5.0,1.73,2.05,3.1,1.33,7.0,1.1,1.1,7.0,1.44,2.62,2.45,1.53,4.6,1.18,5.0,3.3,1.65,,,,,,1.95,,,,,1.85,,,,
