Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HC,AC,HomeXG,AwayXG,Odd_1_HT,Odd_X_HT,Odd_2_HT,BTTS_Yes,BTTS_No,Over_FT_0_5,Under_FT_0_5,Over_FT_1_5,Under_FT_1_5,Over_FT_3_5,Under_FT_3_5,Over_FT_4_5,Under_FT_4_5,DC_1X,DC_12,DC_X2,DNB_1,DNB_2,Over_HT_0_5,Under_HT_0_5,Over_HT_1_5,Under_HT_1_5,Over_HT_2_5,Under_HT_2_5,Over_HT_3_5,Under_HT_3_5,Over_2H_0_5,Under_2H_0_5,Over_2H_1_5,Under_2H_1_5,Over_2H_2_5,Under_2H_2_5,Over_2H_3_5,Under_2H_3_5,Odd_1_2H,Odd_X_2H,Odd_2_2H,odds_win_to_nil_1,odds_win_to_nil_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2
2025-09-06,10:00:00,Chievo,Scanzorosciate,2.0,1.0,H,0.0,0.0,1.25,4.5,10.0,1.85,1.95,4.0,4.0,7.0,0.0,1.8,1.24,1.78,2.38,8.5,2.4,1.5,1.02,10.0,1.24,3.4,2.88,1.33,5.5,1.11,1.17,,3.5,,,1.38,2.8,2.68,1.38,6.3,1.08,17.0,1.02,1.22,3.8,2.0,1.73,4.0,1.2,10.0,1.02,1.51,2.9,8.5,,,,,,,,,,,,,,,
2025-09-07,10:00:00,Breno,Castellanzese,0.0,0.0,D,0.0,0.0,2.05,3.0,3.4,2.05,1.65,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-07,10:00:00,Caldiero Terme,Pavia,3.0,0.0,H,1.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-07,10:00:00,Real Calepina,Villa Valle,1.0,3.0,A,0.0,1.0,3.2,3.1,2.05,2.0,1.65,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-07,10:00:00,Virtus Ciserano Bergamo,Casatese,1.0,1.0,D,1.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-07,10:00:00,Oltrepò,Voghera,1.0,0.0,H,1.0,0.0,2.38,3.2,2.7,1.95,1.8,9.0,4.0,8.0,6.0,1.87,0.88,3.0,2.1,3.25,1.73,2.0,1.03,9.0,1.27,3.35,3.28,1.25,6.0,1.09,1.42,,1.45,,,1.4,2.7,2.84,1.36,7.0,1.07,26.0,1.01,1.29,3.4,2.16,1.62,4.6,1.15,10.0,1.02,2.9,2.38,3.0,,,,,,,,,,,,,,,
2025-09-07,10:00:00,Folgore Caratese,Varesina,2.0,1.0,H,1.0,0.0,1.95,3.3,3.25,1.75,1.85,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-07,10:00:00,Sondrio,Brusaporto,1.0,2.0,A,1.0,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13,10:00:00,Leon,Virtus Ciserano Bergamo,1.0,1.0,D,1.0,0.0,3.35,3.7,1.86,1.4,2.75,3.0,2.0,1.0,3.0,0.83,1.02,3.4,2.62,2.3,,,,,,,1.93,1.77,2.15,1.6,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14,10:00:00,Varesina,Oltrepò,2.0,3.0,A,1.0,2.0,,,,,,,,,,0.0,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
