Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HC,AC,HomeXG,AwayXG,Odd_1_HT,Odd_X_HT,Odd_2_HT,BTTS_Yes,BTTS_No,Over_FT_0_5,Under_FT_0_5,Over_FT_1_5,Under_FT_1_5,Over_FT_3_5,Under_FT_3_5,Over_FT_4_5,Under_FT_4_5,DC_1X,DC_12,DC_X2,DNB_1,DNB_2,Over_HT_0_5,Under_HT_0_5,Over_HT_1_5,Under_HT_1_5,Over_HT_2_5,Under_HT_2_5,Over_HT_3_5,Under_HT_3_5,Over_2H_0_5,Under_2H_0_5,Over_2H_1_5,Under_2H_1_5,Over_2H_2_5,Under_2H_2_5,Over_2H_3_5,Under_2H_3_5,Odd_1_2H,Odd_X_2H,Odd_2_2H,odds_win_to_nil_1,odds_win_to_nil_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2
2025-10-29,10:00:00,Ulinzi Stars,Bidco United,1.0,2.0,A,0.0,0.0,2.33,2.91,3.13,2.74,1.35,5.0,7.0,1.0,5.0,1.77,1.5,3.12,1.84,4.14,2.23,1.57,1.07,5.95,1.58,2.24,5.7,1.08,9.1,1.03,1.31,1.31,1.49,,,1.57,2.26,3.82,1.19,10.0,1.03,41.0,,1.39,2.69,2.94,1.33,,,,,2.86,2.05,3.75,,,,,,,,,,,,,,,
2025-10-25,08:00:00,Homeboyz,Ulinzi Stars,3.0,1.0,H,1.0,0.0,1.92,2.55,6.0,2.7,1.36,3.0,1.0,6.0,1.0,1.31,0.74,2.69,1.85,6.93,2.42,1.49,1.1,5.0,1.5,2.2,5.35,1.09,9.1,1.03,1.09,1.36,1.78,2.0,2.0,1.57,2.05,3.88,1.18,,,,,1.39,2.69,2.79,1.36,,,,,2.22,2.07,5.45,,,,,,,,,,,,,,,
2025-10-28,09:00:00,Sofapaka,TransMara Sugar,0.0,0.0,D,0.0,0.0,,,,2.3,1.55,,,,,1.63,1.73,3.14,1.88,3.91,1.93,1.76,1.06,7.1,1.39,2.59,4.2,1.15,7.85,1.05,1.31,,1.45,,,1.5,2.35,3.22,1.28,9.5,1.04,34.0,,1.3,3.1,2.46,1.46,,,,,2.79,2.2,3.43,,,,,,,,,,,,,,,
2025-11-22,09:00:00,Homeboyz,Posta Rangers,0.0,0.0,D,0.0,0.0,,,,,,,,,,1.26,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-22,10:00:00,Gor Mahia,Tusker,0.0,0.0,D,0.0,0.0,,,,,,,,,,1.33,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-26,00:00:00,KCB,Nairobi United,0.0,0.0,D,0.0,0.0,,,,,,,,,,1.06,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-26,00:00:00,Bandari,Police,0.0,0.0,D,0.0,0.0,,,,,,,,,,1.53,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-04,09:00:00,Nairobi United,Bandari,0.0,0.0,D,0.0,0.0,,,,,,,,,,1.76,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29,08:00:00,APS Bomet,Homeboyz,1.0,2.0,A,1.0,1.0,4.1,3.56,1.74,2.29,1.62,1.0,10.0,4.0,5.0,0.83,2.39,5.61,1.98,2.37,2.1,1.62,1.08,7.5,1.37,2.58,3.8,1.15,7.5,1.06,1.29,1.24,1.18,,,1.45,2.49,3.22,1.28,8.5,1.06,34.0,,1.28,3.2,2.46,1.46,,,,,4.8,2.28,2.15,,,,,,,,,,,,,,,
2025-10-15,08:00:00,Shabana,Posta Rangers,1.0,2.0,A,0.0,1.0,1.95,3.0,4.5,1.77,1.69,2.0,3.0,11.0,4.0,1.68,1.47,2.4,1.97,5.4,1.88,1.81,1.04,6.74,1.3,3.07,3.48,1.22,5.6,1.11,1.26,1.28,1.86,1.0,3.0,1.43,2.55,2.56,1.4,7.0,1.06,15.0,1.01,1.26,4.2,2.18,1.61,,,,,2.14,2.4,4.0,,,,,,,,,,,,,,,
2025-10-15,09:00:00,Murang'a SEAL,Sofapaka,1.0,2.0,A,0.0,2.0,2.38,3.05,2.68,2.22,1.59,4.0,5.0,7.0,6.0,1.69,1.58,3.18,1.96,3.42,1.88,1.81,1.07,7.48,1.36,2.66,3.92,1.18,8.0,1.07,1.36,1.29,1.41,2.0,2.0,1.45,2.49,3.1,1.3,8.5,1.06,34.0,1.01,1.29,3.16,2.38,1.49,,,,,2.9,2.2,3.0,,,,,,,,,,,,,,,
2025-11-08,08:00:00,Posta Rangers,TransMara Sugar,0.0,0.0,D,0.0,0.0,,,,2.08,1.65,,,,,1.33,1.73,2.83,2.0,3.9,1.82,1.85,1.03,9.0,1.32,2.88,3.74,1.19,8.0,1.05,1.26,,1.54,,,1.4,2.6,2.97,1.31,7.5,1.06,17.0,1.01,1.26,3.28,2.29,1.51,,,,,2.58,2.28,3.52,,,,,,,,,,,,,,,
2025-10-26,09:00:00,Murang'a SEAL,Tusker,0.0,1.0,A,0.0,0.0,3.35,2.7,2.32,2.52,1.4,2.0,2.0,4.0,3.0,1.37,1.37,4.2,1.81,3.06,2.09,1.63,1.06,6.25,1.47,2.31,4.95,1.11,11.0,1.01,1.33,1.33,1.49,2.0,2.0,1.53,2.2,3.52,1.22,9.5,1.04,34.0,,1.34,2.9,2.69,1.39,,,,,2.73,2.11,2.68,,,,,,,,,,,,,,,
