Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HC,AC,HomeXG,AwayXG,Odd_1_HT,Odd_X_HT,Odd_2_HT,BTTS_Yes,BTTS_No,Over_FT_0_5,Under_FT_0_5,Over_FT_1_5,Under_FT_1_5,Over_FT_3_5,Under_FT_3_5,Over_FT_4_5,Under_FT_4_5,DC_1X,DC_12,DC_X2,DNB_1,DNB_2,Over_HT_0_5,Under_HT_0_5,Over_HT_1_5,Under_HT_1_5,Over_HT_2_5,Under_HT_2_5,Over_HT_3_5,Under_HT_3_5,Over_2H_0_5,Under_2H_0_5,Over_2H_1_5,Under_2H_1_5,Over_2H_2_5,Under_2H_2_5,Over_2H_3_5,Under_2H_3_5,Odd_1_2H,Odd_X_2H,Odd_2_2H,odds_win_to_nil_1,odds_win_to_nil_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2
2020-08-22,13:30:00,Wiltz,Etzella Ettelbrück,2.0,1.0,H,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22,14:00:00,UT Pétange,UNA Strassen,2.0,0.0,H,2.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22,14:30:00,Swift Hesperange,Differdange 03,3.0,1.0,H,2.0,1.0,4.75,4.2,1.5,1.36,3.1,8.0,6.0,7.0,1.0,1.53,1.37,2.1,2.75,3.6,,,,,,,,,,,1.33,1.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22,15:00:00,Fola Esch,Jeunesse d'Esch,1.0,1.0,D,1.0,1.0,1.2,6.0,9.0,1.4,2.88,9.0,12.0,9.0,6.0,2.62,2.16,1.73,2.75,6.5,1.65,2.1,1.02,15.0,1.13,5.5,2.03,1.78,3.2,1.31,1.05,1.11,3.5,,,1.2,4.0,2.0,1.73,4.5,1.17,11.0,1.01,1.1,5.8,1.62,2.16,2.88,1.36,6.0,1.1,1.49,3.4,7.1,,,,,,,,,,,,,,,
2020-08-23,11:00:00,Victoria Rosport,Rodange,3.0,1.0,H,2.0,0.0,2.1,3.75,2.45,1.4,2.88,12.0,7.0,8.0,4.0,2.43,1.37,2.6,2.63,2.88,,,,,,,,,,,1.5,1.14,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-23,13:00:00,Mondorf-les-Bains,Hostert,1.0,1.0,D,1.0,0.0,1.95,3.7,2.75,1.44,2.7,5.0,4.0,5.0,3.0,1.09,0.92,2.5,2.6,3.1,,,,,,,,,,,1.36,1.14,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-30,11:00:00,Hostert,Etzella Ettelbrück,3.0,0.0,H,2.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29,13:00:00,Racing,Fola Esch,1.0,3.0,A,1.0,1.0,3.1,3.55,1.83,1.53,2.2,5.0,4.0,2.0,8.0,1.57,1.28,3.75,2.4,2.3,1.5,2.25,1.0,11.25,1.14,4.25,2.35,1.47,4.0,1.16,1.91,1.22,1.22,,,1.3,3.2,2.25,1.57,5.5,1.14,13.0,1.04,1.17,5.0,1.73,2.0,3.4,1.3,7.0,1.1,3.5,2.88,2.05,7.5,3.4,,,,,,,,,,,,,
2020-09-27,11:00:00,Jeunesse d'Esch,Hostert,1.0,0.0,H,0.0,0.0,,,,,,,,,,1.46,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-30,11:00:00,Wiltz,RM Hamm Benfica,5.0,3.0,H,2.0,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
