Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,HST,AST,HC,AC,HomeXG,AwayXG,Odd_1_HT,Odd_X_HT,Odd_2_HT,BTTS_Yes,BTTS_No,Over_FT_0_5,Under_FT_0_5,Over_FT_1_5,Under_FT_1_5,Over_FT_3_5,Under_FT_3_5,Over_FT_4_5,Under_FT_4_5,DC_1X,DC_12,DC_X2,DNB_1,DNB_2,Over_HT_0_5,Under_HT_0_5,Over_HT_1_5,Under_HT_1_5,Over_HT_2_5,Under_HT_2_5,Over_HT_3_5,Under_HT_3_5,Over_2H_0_5,Under_2H_0_5,Over_2H_1_5,Under_2H_1_5,Over_2H_2_5,Under_2H_2_5,Over_2H_3_5,Under_2H_3_5,Odd_1_2H,Odd_X_2H,Odd_2_2H,odds_win_to_nil_1,odds_win_to_nil_2,odds_corners_over_75,odds_corners_over_85,odds_corners_over_95,odds_corners_over_105,odds_corners_over_115,odds_corners_under_75,odds_corners_under_85,odds_corners_under_95,odds_corners_under_105,odds_corners_under_115,odds_corners_1,odds_corners_x,odds_corners_2
2020-09-06,07:15:00,PEC Zwolle W,ADO Den Haag W,1.0,0.0,H,0.0,0.0,2.8,3.9,1.91,1.4,2.88,7.0,5.0,3.0,4.0,1.8,1.3,3.1,2.62,2.4,1.4,2.78,1.02,15.0,1.13,5.5,2.04,1.78,3.14,1.3,1.7,1.2,1.34,,,1.18,4.3,1.86,1.84,4.0,1.22,8.0,1.06,1.07,6.8,1.53,2.34,2.62,1.43,5.0,1.14,3.03,2.97,2.3,7.5,5.75,,,,,,,,,,,,,
2020-09-06,07:15:00,Ajax W,Twente W,3.0,1.0,H,3.0,1.0,2.3,3.55,2.4,1.7,2.1,6.0,4.0,6.0,3.0,1.67,1.25,2.75,2.4,3.0,1.58,2.28,1.03,11.0,1.2,3.94,2.68,1.4,4.32,1.2,1.45,1.23,1.5,,,1.26,3.5,2.16,1.62,4.74,1.15,11.0,1.03,1.13,5.1,1.74,1.98,3.2,1.3,7.0,1.07,2.68,2.73,2.75,,,,,,,,,,,,,,,
2020-09-06,09:30:00,Excelsior Barendrecht W,Heerenveen W,0.0,2.0,A,0.0,2.0,12.0,8.0,1.1,1.22,4.2,2.0,5.0,1.0,11.0,0.79,1.91,7.0,3.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,14:30:00,Alkmaar W,Ajax W,0.0,4.0,A,0.0,3.0,7.5,5.65,1.21,1.27,3.1,2.0,7.0,1.0,9.0,0.93,2.11,6.5,3.1,1.57,1.51,2.2,1.0,15.0,1.05,6.15,1.74,1.87,2.65,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,14:30:00,Twente W,PEC Zwolle W,2.0,2.0,D,1.0,2.0,1.29,5.15,6.3,1.32,2.85,9.0,6.0,3.0,1.0,1.9,1.15,1.61,3.0,6.5,1.49,2.25,1.0,14.25,1.07,5.65,1.87,1.74,2.9,1.3,1.06,1.11,3.5,,,1.17,4.4,1.85,1.85,4.0,1.2,9.0,1.03,1.07,6.8,1.52,2.36,2.58,1.44,4.96,1.14,1.59,3.4,5.6,,,,,,,,,,,,,,,
2020-09-11,14:30:00,ADO Den Haag W,Excelsior Barendrecht W,1.0,0.0,H,1.0,0.0,1.17,6.3,8.5,1.28,3.6,10.0,4.0,13.0,0.0,2.61,0.86,1.5,3.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-13,07:15:00,Heerenveen W,PSV W,1.0,2.0,A,1.0,1.0,8.75,6.25,1.16,1.31,2.85,2.0,5.0,10.0,3.0,1.52,1.48,8.5,3.4,1.44,1.8,1.8,1.0,14.25,1.07,5.7,1.83,1.77,2.9,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,14:30:00,PSV W,Alkmaar W,5.0,1.0,H,3.0,0.0,1.03,17.0,21.0,1.11,6.5,11.0,7.0,6.0,3.0,2.32,1.63,1.2,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,14:30:00,Excelsior Barendrecht W,Twente W,0.0,3.0,A,0.0,1.0,18.25,12.5,1.01,1.07,5.5,2.0,6.0,1.0,8.0,0.84,1.54,7.0,3.5,1.5,,,,51.0,1.0,10.5,1.27,3.1,1.65,2.0,7.0,1.01,1.04,,,1.08,6.4,1.56,2.27,2.69,1.41,4.9,1.14,1.02,9.9,1.27,3.4,1.96,1.75,3.1,1.3,12.0,5.4,1.2,,,,,,,,,,,,,,,
2020-10-02,14:30:00,PEC Zwolle W,Alkmaar W,0.0,0.0,D,0.0,0.0,1.41,4.4,5.05,1.32,2.8,,,5.0,2.0,1.8,1.63,1.9,2.62,4.75,1.43,2.4,1.0,14.0,1.07,5.6,1.87,1.74,2.95,1.29,1.13,1.16,2.36,,,1.2,4.0,2.0,1.72,4.0,1.22,8.0,1.06,1.1,5.8,1.63,2.14,2.8,1.38,5.5,1.13,1.82,3.04,4.48,,,1.26,1.49,1.95,2.45,3.35,3.55,2.48,1.85,1.5,1.29,,,
2020-10-02,14:30:00,ADO Den Haag W,Heerenveen W,3.0,1.0,H,2.0,1.0,2.5,3.7,2.15,1.47,2.35,7.0,10.0,7.0,6.0,1.65,2.2,3.4,2.6,2.37,1.43,2.4,1.0,12.0,1.12,4.6,2.2,1.53,3.7,1.19,1.85,1.2,1.26,,,1.2,4.0,2.02,1.71,4.5,1.17,10.0,1.04,1.1,5.8,1.64,2.12,3.24,1.33,6.5,1.1,3.46,2.88,2.15,,,,,,,,,,,,,,,
2020-10-04,07:15:00,Ajax W,PSV W,2.0,0.0,H,1.0,0.0,2.5,4.0,2.2,1.67,2.15,5.0,3.0,3.0,1.0,1.26,1.0,3.1,2.3,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,14:30:00,Alkmaar W,Excelsior Barendrecht W,1.0,1.0,D,0.0,1.0,1.53,4.5,3.9,1.34,2.75,5.0,6.0,4.0,2.0,1.88,1.64,2.05,2.75,3.75,1.42,2.45,1.0,13.75,1.08,5.5,1.91,1.71,3.0,1.28,1.21,1.17,2.04,,,1.16,4.6,1.87,1.83,4.75,1.17,13.0,1.04,1.07,6.8,1.53,2.34,2.62,1.43,5.5,1.13,1.97,3.05,3.74,3.9,10.0,1.3,1.58,2.0,2.7,3.75,3.2,2.25,1.73,1.42,1.24,,,
2020-10-09,14:30:00,PSV W,PEC Zwolle W,5.0,2.0,H,2.0,2.0,1.16,6.2,8.75,1.25,3.25,13.0,8.0,3.0,7.0,2.37,1.67,1.44,3.5,8.0,1.65,2.0,,,1.04,6.5,1.69,1.95,2.55,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,14:30:00,Heerenveen W,Ajax W,1.0,2.0,A,1.0,2.0,6.9,5.6,1.23,1.29,2.95,7.0,8.0,1.0,7.0,1.21,1.78,6.5,3.0,1.61,1.57,2.1,1.0,14.5,1.06,5.9,1.8,1.8,2.8,1.33,2.95,1.11,1.09,,,1.25,3.7,2.0,1.7,4.5,1.18,12.0,1.05,1.09,6.1,1.6,2.19,2.8,1.38,5.5,1.13,5.2,3.18,1.67,17.0,2.8,1.47,1.85,2.48,3.45,,2.5,1.95,1.49,1.27,,,,
2020-10-11,07:15:00,Twente W,ADO Den Haag W,0.0,2.0,A,0.0,0.0,1.44,4.5,5.0,1.36,3.1,4.0,5.0,6.0,5.0,1.72,1.55,1.91,2.75,4.75,1.44,2.58,1.02,15.0,1.11,6.0,1.95,1.85,2.98,1.33,1.13,1.14,2.5,,,1.18,4.3,1.87,1.83,4.0,1.22,9.0,1.05,1.09,6.1,1.53,2.33,2.62,1.43,5.5,1.13,1.71,3.22,4.75,,,1.28,1.52,1.98,2.55,3.5,3.4,2.38,1.83,1.47,1.27,,,
2020-10-30,15:30:00,Twente W,Heerenveen W,3.0,0.0,H,3.0,0.0,1.83,3.75,3.15,1.37,2.65,,,,,1.81,2.05,2.08,2.55,4.36,1.38,2.6,1.0,14.0,1.09,5.25,2.0,1.67,3.2,1.25,1.17,1.18,2.17,,,1.2,4.0,2.03,1.7,4.32,1.2,10.0,1.04,1.1,5.8,1.64,2.12,3.0,1.37,6.0,1.11,1.89,2.96,4.2,,,,,,,,,,,,,,,
2020-10-30,15:30:00,ADO Den Haag W,Alkmaar W,2.0,2.0,D,1.0,1.0,1.32,4.8,5.75,1.28,3.0,10.0,4.0,15.0,1.0,2.51,1.0,1.89,2.73,4.82,1.43,2.45,1.0,15.0,1.06,6.0,1.77,1.83,2.75,1.34,1.11,1.14,2.52,,,1.16,4.6,1.87,1.83,3.74,1.25,7.5,1.07,1.07,6.8,1.53,2.34,2.62,1.43,4.74,1.15,1.74,3.22,4.6,2.8,19.0,,,,,,,,,,,,,
2020-10-30,15:30:00,PEC Zwolle W,Ajax W,1.0,4.0,A,0.0,1.0,5.75,4.95,1.31,1.34,2.75,9.0,12.0,1.0,6.0,1.66,2.28,6.45,3.04,1.61,1.51,2.25,1.0,14.0,1.08,5.5,1.91,1.71,3.0,1.28,3.42,1.09,1.04,,,1.13,5.1,1.77,1.94,4.0,1.22,8.0,1.06,1.05,7.8,1.46,2.52,2.41,1.5,5.5,1.13,6.3,3.62,1.49,17.0,2.87,,,,,,,,,,,,,
2020-11-01,08:15:00,Excelsior Barendrecht W,PSV W,0.0,6.0,A,0.0,3.0,26.0,17.0,1.03,1.12,6.25,5.0,15.0,6.0,14.0,1.14,3.52,21.0,5.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
